file,noisy_si_sdr,enhanced_si_sdr,si_sdr_improvement,speech_preservation_db,quiet_noise_reduction_db,quiet_enhanced_rms_dbfs,quiet_low_rms_dbfs,quiet_high_rms_dbfs,quiet_low_high_ratio_db,active_fraction,quiet_fraction,failure_mode
mix_0000.wav,-2.300424814224243,5.50612211227417,7.806546926498413,-1.8055938062946653,22.79454288486033,-46.12653899853099,-40.38672582044512,-70.02416686310363,29.6374410426585,0.968,0.056,ok
mix_0001.wav,-3.002516269683838,4.626354217529297,7.628870487213135,-1.2498209203838242,11.31889128063614,-29.642153628992745,-26.936450599188806,-70.96235911152127,44.02590851233248,0.952,0.064,low_freq_wind
mix_0002.wav,9.665352821350098,14.832192420959473,5.166839599609375,-0.7236702855561523,18.322118603409223,-49.803985924977994,-45.196997873044765,-69.6071366723198,24.410138799275035,0.808,0.088,ok
mix_0003.wav,7.014443397521973,11.563014030456543,4.54857063293457,-0.4628771990930477,16.46290147458988,-46.34491447229494,-43.26078546497592,-77.7932628402568,34.532477375280884,0.92,0.072,ok
mix_0004.wav,12.910738945007324,15.382014274597168,2.4712753295898438,-0.839009803408671,17.936786496350056,-52.18351250234983,-43.74921577142488,-61.42474914590363,17.675533374478754,0.912,0.096,ok
mix_0005.wav,8.577709197998047,11.678362846374512,3.100653648376465,-0.7482952297203751,13.254412371932336,-44.38682449182813,-47.23279965315691,-66.66150661427761,19.4287069611207,0.92,0.08,ok
mix_0006.wav,1.6667503118515015,8.39128303527832,6.724532723426819,-1.1970168256554286,18.844929049074924,-41.754707258020495,-36.853529965704304,-73.03151916287106,36.17798919716676,0.944,0.08,ok
mix_0007.wav,5.794682025909424,11.953121185302734,6.1584391593933105,-0.8938448362242921,19.54662447704369,-46.94482917991145,-42.98206118934186,-66.4817803494593,23.499719160117436,0.616,0.32,ok
mix_0008.wav,9.28480339050293,13.904953002929688,4.620149612426758,-0.6904211744166294,13.467626033882587,-52.436420417249614,-49.68080611668964,-67.12113491465537,17.440328797965726,0.896,0.056,ok
mix_0009.wav,-4.556268692016602,5.335891246795654,9.892159938812256,-0.7961507791747434,20.92919406001087,-37.760837698469324,-39.77545323632818,-73.38589345698259,33.61044022065441,0.944,0.056,ok
