file,noisy_si_sdr,enhanced_si_sdr,si_sdr_improvement,speech_preservation_db,quiet_noise_reduction_db,quiet_enhanced_rms_dbfs,quiet_low_rms_dbfs,quiet_high_rms_dbfs,quiet_low_high_ratio_db,active_fraction,quiet_fraction,failure_mode
mix_0000.wav,14.033246040344238,11.348550796508789,-2.684695243835449,-2.3925177635191917,25.164986321558693,-57.31692999515167,-56.9509880610744,-64.20782502627048,7.256836965196082,0.936,0.08,regression
mix_0001.wav,10.661760330200195,15.61165714263916,4.949896812438965,-0.9903917368952451,20.81606494493702,-53.01041559395618,-48.545070704166676,-67.92938473652272,19.38431403235604,0.936,0.072,ok
mix_0002.wav,-4.9359283447265625,9.935127258300781,14.871055603027344,-2.539851884712949,23.44013445626354,-39.36992292021445,-44.72465824424903,-40.53378505922463,-4.190873185024408,0.888,0.064,ok
mix_0003.wav,2.944988250732422,15.175451278686523,12.230463027954102,-0.7312955836694988,24.6826352223123,-49.30712156073647,-42.19951010041453,-72.89042764192631,30.690917541511777,0.912,0.072,ok
mix_0004.wav,9.465190887451172,14.723672866821289,5.258481979370117,-1.3007810360781134,20.84297417935907,-53.84725929947369,-49.220570681530404,-74.12896990499416,24.90839922346376,0.896,0.048,ok
mix_0005.wav,11.958999633789062,13.54908561706543,1.5900859832763672,-0.8914877634493966,21.15880435177005,-54.50720406264835,-53.23196237977604,-64.68892358131393,11.45696120153789,0.92,0.072,ok
mix_0006.wav,-2.7493038177490234,10.599666595458984,13.348970413208008,-1.5502984470881962,21.73780473617597,-43.848475277651445,-36.95581347587837,-63.740810917689785,26.78499744181142,0.968,0.064,ok
mix_0007.wav,11.896754264831543,13.671205520629883,1.7744512557983398,-1.8066413571030586,18.94639574404306,-52.77891935144463,-48.260552605542635,-66.67874125833836,18.418188652795738,0.616,0.32,ok
mix_0008.wav,-2.382554531097412,11.002031326293945,13.384585857391357,-0.8982163760742388,22.057432950399985,-44.475551597302136,-39.1409119718726,-57.517891956870116,18.37697998499752,0.864,0.032,ok
mix_0009.wav,-2.1840176582336426,9.223005294799805,11.407022953033447,-2.3008607923689612,21.639829651276308,-41.55577047963584,-36.868842425210275,-55.72068986781127,18.851847442600995,0.952,0.048,ok
mix_0010.wav,6.190702438354492,2.707836389541626,-3.482866048812866,-4.41674757401905,20.60193107511809,-48.086118314706816,-45.19499523608468,-52.69901572946117,7.50402049337649,0.88,0.128,regression
mix_0011.wav,3.1241631507873535,8.04749870300293,4.923335552215576,-1.6877336101815466,6.864168848886223,-31.05254836485347,-24.935425442189853,-63.791081570986506,38.85565612879666,0.944,0.024,low_freq_wind
mix_0012.wav,5.3895087242126465,7.992753982543945,2.603245258331299,-1.8025008648657173,12.949249165780131,-39.03599011046442,-43.18912099749683,-42.27579261262395,-0.9133283848728844,0.952,0.032,ok
mix_0013.wav,3.789794921875,7.9288129806518555,4.1390180587768555,-2.5080681372375753,12.339719770331563,-38.22158458392693,-32.75145056636552,-56.79278097364714,24.041330407281624,0.848,0.112,low_freq_wind
mix_0014.wav,9.298003196716309,14.869061470031738,5.57105827331543,-0.8460335740291002,24.355088471443445,-54.13621003752614,-50.85399935533503,-88.59532746461424,37.74132810927921,0.968,0.04,ok
mix_0015.wav,4.570218086242676,14.099885940551758,9.529667854309082,-2.0603702624754443,24.49621363885621,-55.21296388077798,-55.27108375673237,-59.330433858665764,4.059350101933392,0.896,0.024,ok
mix_0016.wav,13.31392765045166,14.42856216430664,1.1146345138549805,-0.4874495954914987,19.57208802020245,-55.52044602443448,-49.63641811070369,-65.14258269015735,15.506164579453658,0.936,0.072,ok
mix_0017.wav,-2.598923683166504,9.864953994750977,12.46387767791748,-2.0163509463140157,30.622720736994427,-48.101264828366126,-47.97107922695147,-52.11992825451968,4.148849027568213,0.936,0.016,ok
mix_0018.wav,1.2584174871444702,13.450573921203613,12.192156434059143,-1.3184722529919046,29.76505781521,-54.079198705997065,-50.73097994312904,-67.77726709616607,17.04628715303702,0.776,0.168,ok
mix_0019.wav,4.496060371398926,8.685933113098145,4.189872741699219,-0.7005064110610727,6.883312934345948,-34.04641972965757,-29.434416828891948,-62.66246210835207,33.22804527946012,0.984,0.016,low_freq_wind
mix_0020.wav,-2.1301522254943848,1.1662341356277466,3.2963863611221313,-3.645981894962067,11.298477181954844,-31.150270674161117,-26.81743356564127,-53.187206130595015,26.369772564953742,0.904,0.032,low_freq_wind
mix_0021.wav,-1.0694341659545898,10.922077178955078,11.991511344909668,-1.9050001572369444,18.933463764376853,-40.07199775454886,-34.02108485821311,-61.960340465415186,27.939255607202078,0.936,0.048,ok
mix_0022.wav,13.703163146972656,14.831014633178711,1.1278514862060547,-1.1069544988583344,21.352064296562464,-56.87501684814811,-53.57152884998912,-71.74907496055687,18.177546110567743,0.856,0.088,ok
mix_0023.wav,-2.5582754611968994,11.224503517150879,13.782778978347778,-1.5431786674595946,29.268725326116943,-48.436219340107485,-44.30709640191545,-57.80106018008239,13.493963778166929,0.904,0.064,ok
mix_0024.wav,7.477433681488037,10.79594612121582,3.318512439727783,-0.8891240777966145,29.11454350580453,-57.97820421497185,-53.39321606166628,-81.46869633535965,28.075480273693373,0.912,0.088,ok
mix_0025.wav,13.466239929199219,15.339973449707031,1.8737335205078125,-0.40919128580259706,11.583384959623405,-47.20663212763267,-39.49249730322712,-67.2311243569357,27.73862705370858,0.928,0.072,ok
mix_0026.wav,8.576972961425781,14.410200119018555,5.833227157592773,-0.7575510062403548,26.587567282853776,-57.82400548613293,-56.388374960657124,-64.97172263085739,8.583347670200267,0.848,0.144,ok
mix_0027.wav,11.888922691345215,18.190933227539062,6.302010536193848,-0.6245531602170424,22.221860783165724,-57.03134359487967,-54.781719144260194,-65.83828782087926,11.056568676619074,0.792,0.2,ok
mix_0028.wav,-1.4980263710021973,2.499310255050659,3.9973366260528564,-0.7186018011573053,27.108275215203804,-51.66509458321726,-53.259363920771996,-55.75938373055746,2.500019809785472,0.944,0.056,ok
mix_0029.wav,4.6213202476501465,10.512090682983398,5.890770435333252,-1.0999094128546558,19.411399104329014,-47.329778863017154,-44.89160479294465,-61.03111168034927,16.139506887404615,0.976,0.024,ok
mix_0030.wav,14.074936866760254,15.38329029083252,1.3083534240722656,-0.5028866494869579,27.337732696479463,-64.00540613734039,-62.41361519750736,-72.68435850651224,10.270743309004878,0.904,0.104,ok
mix_0031.wav,11.928064346313477,11.453144073486328,-0.47492027282714844,-1.4673314349956517,5.286413228881077,-40.04408384415108,-33.10616798474213,-59.42728661033824,26.321118625596107,0.896,0.128,regression
mix_0032.wav,10.020467758178711,13.027812957763672,3.007345199584961,-0.8116549017693125,22.51081510808,-54.25759591383151,-49.757727425795,-66.2465296658109,16.488802240015904,0.936,0.064,ok
mix_0033.wav,10.644560813903809,14.7393217086792,4.094760894775391,-0.9404802546543942,21.081162805129008,-54.643206090566075,-48.326293958451586,-73.89707400671101,25.57078004825943,0.8,0.168,ok
